JoiningYear,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot,Education_Bachelors,Education_Masters,Education_PHD,City_Bangalore,City_New Delhi,City_Pune,EverBenched_No,EverBenched_Yes
2015,3,40,Male,0,1,1,0,0,1,0,0,1,0
2014,1,23,Female,1,0,1,0,0,1,0,0,1,0
2017,3,23,Female,1,0,1,0,0,1,0,0,1,0
2012,3,39,Male,1,0,1,0,0,1,0,0,1,0
2015,1,37,Male,1,0,0,0,1,0,1,0,1,0
2017,3,38,Male,2,0,1,0,0,0,0,1,1,0
2013,3,31,Female,0,1,1,0,0,1,0,0,1,0
2016,3,38,Male,5,0,1,0,0,1,0,0,1,0
2017,3,25,Female,3,0,1,0,0,1,0,0,1,0
2015,3,27,Female,5,1,1,0,0,1,0,0,0,1
2016,2,36,Male,0,1,1,0,0,0,0,1,1,0
2017,2,27,Female,5,1,1,0,0,0,0,1,1,0
2015,2,32,Female,4,0,0,1,0,0,0,1,1,0
2014,3,28,Male,4,0,1,0,0,1,0,0,1,0
2012,3,32,Male,2,0,0,1,0,0,1,0,1,0
2018,3,30,Male,0,1,1,0,0,1,0,0,1,0
2015,3,22,Male,0,0,1,0,0,0,1,0,1,0
2017,2,34,Female,5,0,1,0,0,0,1,0,1,0
2013,3,36,Male,2,0,0,1,0,0,1,0,1,0
2014,3,39,Male,3,1,1,0,0,1,0,0,1,0
2018,3,26,Male,4,1,0,0,1,1,0,0,1,0
2016,3,31,Female,0,0,1,0,0,1,0,0,1,0
2014,3,27,Male,5,1,1,0,0,1,0,0,1,0
2014,3,29,Female,0,0,1,0,0,1,0,0,1,0
2015,3,24,Female,2,1,1,0,0,1,0,0,1,0
2012,3,25,Male,3,1,0,1,0,0,0,1,1,0
2013,3,25,Male,3,0,1,0,0,0,0,1,1,0
2017,3,26,Female,4,1,0,1,0,0,1,0,1,0
2015,2,28,Female,1,1,1,0,0,0,0,1,0,1
2017,3,28,Male,2,0,1,0,0,0,1,0,1,0
2015,1,28,Female,3,1,0,1,0,0,0,1,1,0
2015,3,25,Male,3,0,0,1,0,0,1,0,1,0
2017,3,28,Male,1,0,1,0,0,1,0,0,1,0
2013,3,25,Male,3,0,0,1,0,0,0,1,1,0
2015,2,25,Female,3,1,1,0,0,1,0,0,1,0
2015,3,27,Female,5,0,1,0,0,1,0,0,1,0
2013,3,27,Male,5,1,1,0,0,1,0,0,1,0
2012,3,25,Male,3,0,1,0,0,1,0,0,1,0
2017,2,28,Male,2,0,0,1,0,0,1,0,1,0
2014,1,26,Female,4,1,1,0,0,0,0,1,1,0
2015,3,28,Male,2,0,1,0,0,1,0,0,1,0
2013,3,26,Male,4,0,0,1,0,0,1,0,1,0
2017,3,26,Female,4,0,1,0,0,1,0,0,1,0
2017,2,25,Male,3,0,1,0,0,0,1,0,1,0
2012,1,28,Female,3,0,1,0,0,1,0,0,1,0
2015,3,26,Male,4,0,0,0,1,0,1,0,1,0
2015,3,25,Female,3,0,1,0,0,0,1,0,1,0
2012,3,26,Male,4,1,1,0,0,1,0,0,1,0
2014,3,28,Female,3,0,1,0,0,1,0,0,1,0
2014,3,24,Male,2,0,0,1,0,0,0,1,1,0
2013,3,28,Male,1,0,1,0,0,1,0,0,1,0
2015,3,27,Male,5,0,1,0,0,0,0,1,1,0
2018,3,25,Male,3,1,1,0,0,1,0,0,1,0
2013,1,24,Male,2,1,0,1,0,0,0,1,1,0
2013,3,28,Male,1,1,1,0,0,1,0,0,1,0
2016,3,27,Male,5,0,0,1,0,0,1,0,1,0
2017,3,26,Male,4,0,0,1,0,1,0,0,1,0
2017,2,24,Male,2,0,0,1,0,0,1,0,1,0
2018,3,26,Male,4,1,0,1,0,0,1,0,1,0
2017,1,25,Female,3,1,0,1,0,0,1,0,1,0
2012,3,28,Male,2,0,1,0,0,0,0,1,1,0
2013,3,26,Male,4,0,1,0,0,1,0,0,1,0
2013,3,27,Male,5,1,0,1,0,0,1,0,1,0
2017,2,24,Female,2,1,1,0,0,0,0,1,1,0
2017,3,28,Female,2,0,1,0,0,0,1,0,1,0
2016,3,26,Male,4,0,1,0,0,1,0,0,1,0
2013,3,27,Female,5,0,1,0,0,1,0,0,1,0
2015,2,28,Female,3,0,0,1,0,0,0,1,1,0
2014,3,25,Male,3,0,1,0,0,1,0,0,1,0
2016,3,28,Male,1,0,1,0,0,0,0,1,1,0
2013,1,25,Male,3,1,0,1,0,1,0,0,1,0
2015,3,26,Male,4,0,1,0,0,0,0,1,1,0
2018,3,27,Female,5,1,1,0,0,0,1,0,1,0
2016,3,24,Male,2,1,1,0,0,1,0,0,1,0
2012,2,24,Female,2,1,1,0,0,0,0,1,1,0
2014,3,26,Male,4,0,1,0,0,1,0,0,1,0
2016,2,24,Female,2,1,1,0,0,0,0,1,1,0
2012,3,26,Female,4,0,0,1,0,0,1,0,1,0
2013,3,28,Female,3,0,1,0,0,1,0,0,1,0
2012,3,24,Male,2,1,1,0,0,1,0,0,1,0
2015,3,25,Male,3,1,1,0,0,1,0,0,1,0
2016,3,28,Male,3,0,1,0,0,1,0,0,1,0
2013,3,26,Female,4,0,1,0,0,1,0,0,1,0
2017,3,24,Female,2,1,0,1,0,0,1,0,1,0
2016,3,25,Male,3,1,1,0,0,1,0,0,1,0
2015,3,25,Male,3,0,1,0,0,1,0,0,1,0
2014,3,27,Male,5,0,1,0,0,1,0,0,1,0
2012,3,24,Male,2,0,1,0,0,1,0,0,1,0
2015,3,28,Male,3,0,1,0,0,1,0,0,1,0
2015,3,26,Male,4,1,0,1,0,0,1,0,1,0
2014,3,28,Female,1,0,1,0,0,0,1,0,1,0
2015,3,25,Male,3,0,1,0,0,0,0,1,1,0
2015,2,28,Female,2,0,0,1,0,0,0,1,1,0
2014,3,27,Female,5,0,1,0,0,1,0,0,1,0
2014,3,24,Female,2,0,1,0,0,0,1,0,1,0
2012,3,27,Male,5,1,1,0,0,1,0,0,1,0
2017,3,27,Male,5,1,0,1,0,0,1,0,1,0
2018,3,24,Male,2,1,1,0,0,1,0,0,1,0
2017,2,28,Female,1,1,0,1,0,0,1,0,1,0
2017,2,24,Male,2,1,0,1,0,0,0,1,1,0
2016,3,25,Female,3,1,0,1,0,0,1,0,1,0
2015,3,28,Female,1,0,0,0,1,0,1,0,1,0
2017,2,26,Male,4,0,1,0,0,0,1,0,1,0
2013,2,27,Male,5,0,1,0,0,1,0,0,1,0
2015,3,26,Male,4,0,1,0,0,1,0,0,1,0
2013,3,25,Female,3,0,1,0,0,0,1,0,1,0
2013,3,28,Male,1,0,1,0,0,0,0,1,1,0
2017,3,24,Male,2,0,1,0,0,0,0,1,1,0
2013,3,27,Female,5,0,1,0,0,0,1,0,1,0
2015,3,28,Male,2,0,1,0,0,1,0,0,0,1
2015,3,28,Male,3,0,1,0,0,0,0,1,1,0
2014,2,25,Female,3,1,1,0,0,0,0,1,1,0
2017,3,27,Male,5,0,1,0,0,1,0,0,1,0
2014,2,26,Female,4,1,1,0,0,0,0,1,1,0
2013,3,24,Male,2,0,0,0,1,0,1,0,1,0
2017,3,25,Male,3,0,1,0,0,1,0,0,1,0
2013,2,27,Male,5,1,0,1,0,0,0,1,1,0
2017,3,28,Male,2,0,0,1,0,1,0,0,1,0
2012,3,25,Male,3,1,1,0,0,1,0,0,1,0
2017,2,27,Female,5,0,0,1,0,0,0,1,1,0
2013,2,28,Female,2,1,0,1,0,1,0,0,1,0
2017,3,28,Male,1,1,0,1,0,0,0,1,1,0
2018,3,27,Female,5,1,1,0,0,1,0,0,1,0
2014,3,25,Female,3,0,1,0,0,0,1,0,1,0
2013,3,26,Male,4,1,0,1,0,0,1,0,1,0
2013,2,25,Female,3,1,1,0,0,0,0,1,1,0
2012,3,26,Male,4,1,0,1,0,0,1,0,1,0
2013,2,26,Male,4,0,1,0,0,0,0,1,1,0
2018,3,28,Female,2,1,1,0,0,1,0,0,1,0
2013,3,27,Male,5,0,1,0,0,1,0,0,1,0
2015,1,24,Female,2,1,1,0,0,0,0,1,0,1
2013,3,28,Male,2,0,1,0,0,0,0,1,1,0
2015,2,27,Female,5,1,1,0,0,0,0,1,0,1
2014,2,27,Female,5,1,1,0,0,0,0,1,1,0
2013,3,24,Male,2,0,1,0,0,0,0,1,1,0
2014,3,24,Male,2,0,1,0,0,0,0,1,1,0
2015,2,25,Female,3,0,0,0,1,0,1,0,1,0
2014,3,26,Male,4,0,1,0,0,1,0,0,0,1
2015,2,25,Female,3,0,0,1,0,0,0,1,1,0
2015,3,24,Male,2,0,1,0,0,1,0,0,1,0
2017,2,26,Female,4,1,0,1,0,1,0,0,1,0
2012,3,28,Male,1,0,1,0,0,0,1,0,1,0
2017,2,26,Female,4,0,0,1,0,0,0,1,1,0
2016,3,25,Male,3,0,1,0,0,0,0,1,1,0
2017,3,24,Male,2,1,1,0,0,0,1,0,1,0
2013,2,28,Female,3,1,1,0,0,0,0,1,1,0
2014,3,25,Female,3,1,1,0,0,1,0,0,1,0
2014,2,24,Female,2,1,1,0,0,0,0,1,1,0
2015,3,28,Male,2,1,1,0,0,1,0,0,1,0
2015,3,27,Male,5,0,1,0,0,1,0,0,1,0
2016,3,26,Male,4,0,1,0,0,0,0,1,1,0
2015,3,26,Female,4,1,0,1,0,0,1,0,1,0
2016,1,28,Female,2,0,1,0,0,1,0,0,1,0
2014,3,25,Male,3,0,1,0,0,1,0,0,0,1
2017,3,28,Male,2,0,1,0,0,1,0,0,1,0
2018,3,24,Female,2,1,0,1,0,0,1,0,0,1
2017,2,25,Male,3,0,1,0,0,0,0,1,1,0
2018,2,24,Female,2,1,1,0,0,0,0,1,1,0
2017,2,28,Female,1,0,0,1,0,0,1,0,1,0
2013,1,27,Female,5,0,1,0,0,0,1,0,1,0
2017,2,27,Female,5,0,1,0,0,0,1,0,1,0
2016,2,27,Female,5,1,1,0,0,0,0,1,1,0
2018,3,24,Male,2,1,0,1,0,1,0,0,1,0
2012,1,26,Male,4,0,1,0,0,0,0,1,1,0
2016,1,27,Male,5,0,0,1,0,0,1,0,1,0
2015,3,26,Female,4,0,1,0,0,0,1,0,1,0
2012,3,27,Male,5,0,1,0,0,1,0,0,0,1
2013,3,24,Male,2,1,1,0,0,1,0,0,0,1
2018,3,26,Female,4,1,1,0,0,1,0,0,1,0
2017,2,26,Female,4,1,0,1,0,0,0,1,1,0
2017,2,28,Female,2,0,0,1,0,0,1,0,1,0
2013,3,25,Male,3,0,0,1,0,0,1,0,1,0
2018,3,28,Female,1,1,1,0,0,1,0,0,0,1
2013,3,27,Female,5,1,1,0,0,0,0,1,1,0
2014,3,28,Male,1,0,1,0,0,1,0,0,1,0
2017,3,28,Female,3,0,1,0,0,0,1,0,1,0
2017,2,28,Male,2,0,0,1,0,0,1,0,0,1
2017,3,26,Male,4,0,0,1,0,0,1,0,1,0
2015,1,25,Female,3,1,1,0,0,0,0,1,1,0
2013,3,27,Male,5,0,0,1,0,0,1,0,1,0
2014,3,24,Female,2,0,0,0,1,1,0,0,1,0
2017,2,27,Female,5,0,0,1,0,0,1,0,1,0
2012,3,26,Male,4,0,1,0,0,1,0,0,1,0
2015,3,27,Female,5,1,0,1,0,0,0,1,1,0
2016,3,24,Male,2,0,1,0,0,1,0,0,1,0
2017,2,25,Female,3,0,0,1,0,0,1,0,1,0
2017,2,28,Male,1,0,1,0,0,0,1,0,1,0
2012,3,27,Female,5,0,1,0,0,0,1,0,1,0
2015,3,26,Female,4,1,1,0,0,1,0,0,0,1
2014,3,28,Male,2,0,1,0,0,0,0,1,1,0
2016,3,24,Female,2,1,1,0,0,1,0,0,1,0
2012,3,28,Male,3,0,1,0,0,1,0,0,1,0
2012,3,27,Male,5,0,1,0,0,1,0,0,1,0
2014,3,27,Female,5,0,1,0,0,0,1,0,0,1
2015,3,26,Female,4,1,1,0,0,0,0,1,0,1
2014,3,26,Male,4,1,0,1,0,0,1,0,1,0
2015,3,25,Female,3,0,0,0,1,0,1,0,1,0
2012,3,27,Male,5,0,1,0,0,0,0,1,1,0
2017,2,24,Female,2,0,0,1,0,0,1,0,1,0
2015,3,28,Female,2,0,0,1,0,0,0,1,1,0
2017,3,24,Female,2,0,1,0,0,1,0,0,1,0
2017,3,25,Male,3,0,1,0,0,0,0,1,1,0
2017,1,25,Male,3,0,1,0,0,1,0,0,1,0
2017,3,26,Male,4,0,1,0,0,0,0,1,1,0
2014,3,25,Female,3,1,1,0,0,0,0,1,1,0
2018,3,26,Female,4,1,1,0,0,0,0,1,1,0
2016,3,27,Male,5,0,1,0,0,1,0,0,1,0
2017,3,28,Female,2,0,1,0,0,1,0,0,1,0
2012,3,24,Female,2,1,0,1,0,0,1,0,1,0
2015,3,26,Female,4,0,1,0,0,0,1,0,0,1
2018,3,25,Male,3,1,1,0,0,0,0,1,0,1
2017,3,24,Male,2,0,0,1,0,0,1,0,1,0
2013,3,28,Male,2,1,1,0,0,1,0,0,1,0
2017,3,24,Male,2,0,1,0,0,1,0,0,1,0
2013,2,28,Female,1,1,1,0,0,0,0,1,1,0
2015,2,27,Female,5,1,1,0,0,0,1,0,1,0
2018,3,24,Female,2,1,1,0,0,1,0,0,1,0
2013,3,24,Male,2,0,1,0,0,1,0,0,0,1
2013,3,24,Female,2,0,1,0,0,1,0,0,1,0
2012,3,24,Female,2,1,1,0,0,0,0,1,1,0
2016,3,24,Male,2,1,1,0,0,1,0,0,0,1
2017,2,27,Male,5,0,1,0,0,0,1,0,1,0
2012,2,27,Female,5,1,1,0,0,0,0,1,1,0
2017,2,27,Male,5,0,0,1,0,0,0,1,1,0
2017,2,24,Male,2,1,1,0,0,0,0,1,1,0
2016,1,26,Female,4,1,1,0,0,0,0,1,1,0
2015,3,26,Female,4,1,1,0,0,0,0,1,1,0
2012,3,26,Male,4,0,1,0,0,0,0,1,1,0
2017,3,25,Female,3,0,1,0,0,1,0,0,0,1
2017,2,26,Male,4,0,0,1,0,0,0,1,1,0
2015,2,25,Female,3,1,0,1,0,0,0,1,1,0
2017,2,26,Female,4,0,1,0,0,0,1,0,1,0
2017,3,27,Female,5,0,1,0,0,0,1,0,1,0
2015,3,24,Female,2,0,1,0,0,0,1,0,1,0
2017,1,26,Female,4,1,0,1,0,1,0,0,1,0
2017,1,28,Female,2,0,1,0,0,0,1,0,1,0
2014,3,25,Female,3,0,1,0,0,1,0,0,1,0
2014,3,28,Male,2,0,1,0,0,1,0,0,1,0
2017,3,28,Male,3,0,1,0,0,1,0,0,1,0
2015,1,27,Male,5,0,0,1,0,0,1,0,1,0
2018,3,25,Male,3,1,0,1,0,1,0,0,0,1
2016,3,28,Female,3,0,1,0,0,1,0,0,1,0
2018,3,26,Female,4,1,1,0,0,0,1,0,0,1
2015,2,24,Female,2,1,1,0,0,0,0,1,1,0
2017,3,27,Male,5,0,1,0,0,1,0,0,0,1
2014,3,24,Male,2,0,1,0,0,1,0,0,1,0
2016,3,28,Male,2,0,1,0,0,1,0,0,1,0
2015,2,25,Female,3,1,1,0,0,0,0,1,1,0
2013,3,27,Male,5,0,1,0,0,0,0,1,1,0
2015,3,28,Male,2,0,1,0,0,0,0,1,1,0
2014,2,24,Female,2,1,1,0,0,0,1,0,1,0
2013,3,24,Male,2,0,1,0,0,1,0,0,1,0
2018,3,28,Male,3,1,1,0,0,1,0,0,0,1
2014,2,26,Male,4,0,1,0,0,0,0,1,1,0
2013,3,25,Male,3,0,0,0,1,1,0,0,1,0
2017,2,28,Female,1,0,1,0,0,0,1,0,1,0
2015,1,26,Female,4,1,1,0,0,0,0,1,1,0
2017,3,26,Male,4,1,0,1,0,0,1,0,0,1
2012,3,24,Female,2,0,1,0,0,0,1,0,1,0
2017,2,24,Male,2,0,1,0,0,0,1,0,1,0
2012,3,26,Female,4,0,1,0,0,1,0,0,1,0
2014,3,25,Male,3,0,0,1,0,0,0,1,1,0
2016,3,24,Male,2,0,1,0,0,0,0,1,1,0
2016,3,26,Female,4,0,1,0,0,1,0,0,1,0
2015,2,25,Female,3,1,1,0,0,0,0,1,0,1
2013,2,25,Male,3,1,0,1,0,0,1,0,1,0
2015,2,26,Female,4,1,1,0,0,0,0,1,0,1
2015,2,26,Female,4,1,0,1,0,1,0,0,1,0
2012,3,27,Female,5,0,1,0,0,0,0,1,1,0
2017,3,28,Male,2,0,0,1,0,0,1,0,0,1
2013,3,27,Female,5,0,1,0,0,0,1,0,0,1
2015,3,26,Male,4,0,1,0,0,0,1,0,1,0
2017,2,27,Male,5,0,1,0,0,0,0,1,1,0
2018,3,25,Male,3,1,0,0,1,0,1,0,1,0
2014,3,27,Male,5,0,1,0,0,0,0,1,1,0
2017,2,24,Female,2,1,0,1,0,0,0,1,1,0
2016,2,28,Male,3,1,0,0,1,0,1,0,1,0
2017,2,27,Male,5,1,0,1,0,0,1,0,0,1
2013,3,27,Male,5,0,0,0,1,0,1,0,1,0
2014,3,28,Female,1,0,0,1,0,0,1,0,1,0
2017,3,27,Male,5,0,1,0,0,0,0,1,1,0
2014,3,26,Male,4,1,0,1,0,1,0,0,1,0
2012,3,27,Male,5,0,0,1,0,0,0,1,1,0
2017,3,26,Male,4,0,1,0,0,1,0,0,1,0
2017,2,27,Male,5,1,0,1,0,0,0,1,1,0
2016,3,27,Male,5,0,1,0,0,0,0,1,0,1
2014,3,25,Male,3,0,1,0,0,0,0,1,1,0
2012,3,24,Male,2,0,0,1,0,0,0,1,1,0
2013,2,25,Male,3,1,1,0,0,0,0,1,1,0
2013,3,26,Male,4,0,1,0,0,0,0,1,1,0
2015,3,25,Male,3,0,1,0,0,0,1,0,1,0
2012,3,24,Male,2,0,0,0,1,0,0,1,1,0
2015,3,24,Female,2,0,0,1,0,0,1,0,1,0
2017,3,24,Male,2,1,0,1,0,0,1,0,1,0
2014,1,25,Male,3,0,1,0,0,1,0,0,0,1
2018,3,28,Male,1,1,1,0,0,1,0,0,1,0
2017,3,28,Male,3,0,1,0,0,1,0,0,0,1
2013,3,28,Female,2,1,0,1,0,1,0,0,0,1
2013,3,26,Male,4,0,1,0,0,1,0,0,0,1
2018,1,24,Male,2,1,0,1,0,0,1,0,0,1
2013,2,27,Female,5,0,0,0,1,0,1,0,1,0
2018,3,28,Male,2,1,0,1,0,0,1,0,0,1
2014,3,28,Male,3,1,1,0,0,1,0,0,1,0
2013,3,24,Female,2,1,1,0,0,0,1,0,1,0
2015,2,28,Female,1,1,1,0,0,0,0,1,1,0
2017,2,28,Female,3,0,1,0,0,0,1,0,1,0
2012,3,27,Female,5,1,0,1,0,0,0,1,1,0
2017,3,25,Female,3,1,0,1,0,0,0,1,0,1
2017,2,27,Male,5,1,0,1,0,0,1,0,1,0
2017,2,24,Male,2,0,0,1,0,0,0,1,1,0
2013,2,24,Male,2,1,1,0,0,0,0,1,0,1
2015,2,28,Female,1,0,0,0,1,0,1,0,1,0
2014,3,27,Male,5,0,0,1,0,0,1,0,1,0
2018,3,25,Male,3,1,1,0,0,0,0,1,1,0
2013,3,26,Male,4,1,1,0,0,1,0,0,0,1
2015,3,25,Male,3,1,1,0,0,0,1,0,1,0
2017,2,25,Female,3,1,1,0,0,0,1,0,1,0
2012,3,25,Male,3,0,1,0,0,1,0,0,0,1
2014,3,28,Female,2,0,1,0,0,0,1,0,1,0
2018,3,26,Male,4,1,1,0,0,0,0,1,1,0
2014,3,28,Male,2,0,0,1,0,0,1,0,1,0
2017,3,25,Male,3,1,0,1,0,0,0,1,1,0
2018,3,28,Male,2,1,1,0,0,1,0,0,1,0
2012,3,24,Male,2,0,1,0,0,1,0,0,0,1
2015,3,28,Female,1,0,1,0,0,1,0,0,1,0
2016,3,24,Female,2,0,1,0,0,0,1,0,1,0
2012,3,25,Female,3,0,1,0,0,1,0,0,1,0
2012,3,28,Male,3,0,1,0,0,0,0,1,1,0
2016,3,27,Female,5,0,1,0,0,1,0,0,1,0
2015,2,24,Female,2,0,0,1,0,0,0,1,1,0
2014,3,24,Female,2,1,0,1,0,1,0,0,1,0
2013,3,25,Male,3,0,1,0,0,1,0,0,1,0
2017,2,28,Male,3,0,1,0,0,0,1,0,1,0
2014,3,24,Male,2,0,0,0,1,0,1,0,1,0
2017,2,26,Female,4,0,0,1,0,0,1,0,1,0
2018,3,25,Male,3,1,0,1,0,0,1,0,1,0
2014,3,25,Male,3,1,1,0,0,1,0,0,1,0
2018,3,28,Female,3,1,1,0,0,0,1,0,1,0
2017,2,25,Male,3,1,0,1,0,0,1,0,0,1
2013,3,28,Male,2,0,0,1,0,0,1,0,1,0
2013,3,25,Female,3,0,0,1,0,0,1,0,1,0
2016,3,25,Male,3,0,1,0,0,1,0,0,1,0
2017,2,26,Male,4,1,0,1,0,0,1,0,0,1
2013,3,28,Male,2,0,1,0,0,1,0,0,1,0
2015,3,28,Female,2,0,0,1,0,0,0,1,0,1
2014,2,27,Female,5,0,0,1,0,0,0,1,1,0
2015,1,27,Female,5,0,0,1,0,0,0,1,1,0
2013,1,28,Male,3,1,1,0,0,1,0,0,1,0
2012,2,26,Female,4,1,1,0,0,0,0,1,1,0
2017,2,25,Male,3,0,0,1,0,0,1,0,1,0
2017,3,26,Male,4,0,1,0,0,0,1,0,1,0
2014,3,28,Female,1,1,1,0,0,1,0,0,1,0
2015,2,28,Female,3,1,1,0,0,0,0,1,1,0
2016,3,27,Female,5,1,1,0,0,1,0,0,1,0
2018,3,25,Male,3,1,0,1,0,0,0,1,1,0
2014,3,26,Male,4,0,1,0,0,0,0,1,1,0
2017,3,27,Male,5,0,0,0,1,0,1,0,1,0
2013,3,28,Male,3,0,1,0,0,1,0,0,0,1
2018,3,27,Male,5,1,1,0,0,1,0,0,1,0
2017,2,25,Female,3,1,1,0,0,0,0,1,1,0
2017,2,26,Female,4,1,1,0,0,0,0,1,1,0
2017,2,26,Male,4,1,0,1,0,0,0,1,1,0
2015,3,28,Female,2,0,0,1,0,0,1,0,0,1
2012,2,25,Male,3,1,1,0,0,0,1,0,1,0
2016,3,25,Female,3,0,1,0,0,1,0,0,1,0
2012,2,26,Female,4,0,0,1,0,0,0,1,1,0
2016,3,27,Male,5,1,0,1,0,0,1,0,1,0
2017,3,28,Male,1,0,0,0,1,1,0,0,1,0
2018,1,27,Male,5,0,1,0,0,1,0,0,1,0
2018,3,28,Female,3,1,1,0,0,1,0,0,1,0
2016,3,27,Male,5,0,1,0,0,1,0,0,0,1
2015,3,24,Female,2,1,0,1,0,0,1,0,1,0
2017,3,24,Male,2,0,1,0,0,0,1,0,1,0
2013,3,28,Male,2,1,0,1,0,0,0,1,1,0
2017,3,27,Female,5,1,1,0,0,0,0,1,1,0
2016,3,26,Male,4,1,1,0,0,1,0,0,1,0
2014,3,28,Female,3,0,1,0,0,0,1,0,1,0
2016,3,28,Male,3,0,1,0,0,0,0,1,1,0
2017,3,27,Male,5,1,0,1,0,1,0,0,1,0
2017,3,26,Male,4,1,0,1,0,0,0,1,1,0
2013,3,25,Male,3,0,1,0,0,1,0,0,0,1
2015,2,28,Female,2,1,1,0,0,0,0,1,1,0
2013,1,26,Male,4,0,0,0,1,1,0,0,1,0
2012,3,27,Male,5,1,0,1,0,0,0,1,1,0
